identifier,Naam,Plaats,Jaar,Plaats op ranglijst,Prijs per stuk in €,Aanbieding prijs,Aanbieding in €,Adres,Adres_google,Categorie,Conclusie,Eindcijfer,Gewicht in gram,Hoeveelheid vulling,Klefheid,Luchtigheid,Nevenvestiging,Opmerking,Smaak,Uiterlijk,Vetpercentage,Zelf aangemeld voor deelname,Zoetheid,Aanbieding bulk aantal,Aanbieding bulk prijs
"Brood- en Banketbakkerij Van Horssen, Aalst",Brood- en Banketbakkerij Van Horssen,Aalst,2015,20.0,0.9,0.9,"10 voor 9,00",E.P. van Ooijenstraat 1,"E.P. van Ooijenstraat 1, Aalst, Nederland",Goed,Bakker laat met een keurige oliebol zien dat hij zijn vak verstaat. Iets knapperige korst en een goede afbeet. Vulling zou wat royaler mogen zijn. Aalst weet waar het terecht kan.,8.5,97.0,,,,,,,,11.9,,,10,9.00
"Bakkerij In de Soete Suikerbol, Twello",In de Soete Suikerbol,Twello,2015,21.0,0.8,0.73,"11 voor 8,00",Duistervoordseweg 10,"Duistervoordseweg 10, Twello, Nederland",Goed,"Vergeleken met vorig jaar zo’n 70 plaatsen hoger in de rangschikking. Hier is hard gewerkt aan het maken van een betere oliebol. Fris van smaak, maar aan de zoete kant. Korst kan knapperiger.",8.5,86.0,,,,,,,,8.51,,,11,8.00
"Bakkerij Van de Mortel, Someren",Bakkerij Van de Mortel,Someren,2015,22.0,0.9,0.82,"11 voor 9,00",Floreffestraat 7,"Floreffestraat 7, Someren, Nederland",Goed,"Bolletje dat met betere korsteigenschappen ongetwijfeld nog hoger had gescoord. Voor je het weet, neem je weer een hap. En nog een. En plotseling is de oliebol op. Groter compliment kun je niet krijgen.",8.5,101.0,,,,,,,,10.6,,,11,9.00
"Gebakkraam De Boeck, Oud-Beijerland",Gebakkraam De Boeck,Oud-Beijerland,2015,23.0,0.9,,None,"Beneden Oostdijk 64, parkeerterrein Tuinwereld","Beneden Oostdijk 64, 3261 KX Oud-Beijerland, Nederland",Goed,"Ook Dorus de Boeck kreeg goud van het Nederlands Bakkerij Centrum. Zonder meer smakelijk. Kijk uit met het toevoegen van te veel ingrediënten: dat zorgt voor afleiding van de eerlijke, simpele oliebol.",8.0,87.0,,,,,,,,11.5,,,,
"Bakkerij Ruud & Chantal Gremmee, Rossum",Bakkerij Ruud & Chantal Gremmee,Rossum,2015,24.0,0.9,,None,Koningstraat 5,"Koningstraat 5, Rossum, Nederland",Goed,"Vorig jaar verrassend tweede. Nu moeten Ruud en Chantal Gremmee een stapje terug doen. Beslist een goede en smakelijke oliebol, maar dit keer ontbreekt het effect dat je versteld doet staan.",8.0,102.0,,,,,,,,10.1,,,,
"Bakker Sturkenboom, Kortenhoef",Bakker Sturkenboom,Kortenhoef,2015,25.0,0.95,0.9,"10 voor 9,00",Meenthof 10,"Meenthof 10, Kortenhoef, Nederland",Goed,Tussen de 20 gekochte oliebollen zijn er een paar die niet (helemaal) gaar zijn. Dat drukt de score. Want verder gaat het om een smakelijke bol. De vulling mag iets royaler.,8.0,92.0,,,,,,,,13.2,,,10,9.00
"Meesterbakker Uljee, Papendrecht",Meesterbakker Uljee,Papendrecht,2015,26.0,1.0,0.9,"10 voor 9,00",Espenhof 30,"Espenhof 30, Papendrecht, Nederland",Goed,"Prima, luchtig bolletje met een aangename smaak. Zou met iets meer vruchten en een meer knapperige korst nog beter zijn. Een vertrouwd adres dat al jaren hoog in de middenmoot scoort.",8.0,95.0,,,,,,,,11.0,,,10,9.00
"Gebakkraam Familie Smit, Rotterdam",Gebakkraam Familie Smit,Rotterdam,2015,27.0,0.9,,None,Beijerlandselaan/Slaghekstraat,"51°53'51.2""N 4°30'39.4""E",Goed,"Ook Ronald Smit heeft zich ingespannen om tot een betere oliebol te komen. Goed om te zien dat hij daarin slaagt. Iets zoet, maar niet hinderlijk. De korst kan nog wat krokanter. Keurig verkooppunt.",8.0,106.0,,,,,,,,10.7,,,,
"Bakker Van Keulen, Gameren",Bakker Van Keulen,Gameren,2015,28.0,0.9,,None,Burgerstraat 7,"Burgerstraat 7, Gameren, Nederland",Goed,"Na zich één keer in de oliebol te hebben verslikt, bewees Van Keulen in 2014 dat hij veel beter kon. Komt ook nu weer met een prima oliebol. De korst is nog een verbeterpuntje.",8.0,96.0,,,,,,,,11.2,,,,
"Oliebollerie, Schiphol",Oliebollerie,Schiphol,2015,29.0,1.0,0.83,"12 voor 10,00",Voor ingang aankomstpassage,"52°18'34.6""N 4°45'18.7""E",Goed,"Een iets vettere oliebol, maar voor de meerderheid van het panel is dat geen bezwaar. De korst is wat te zacht, maar verder goed van smaak. Voor deze kraam een record. Mooi!",8.0,89.0,,,,,,,,10.4,,,12,10.00
