identifier,Naam,Plaats,Jaar,Plaats op ranglijst,Prijs per stuk in €,Aanbieding prijs,Aanbieding in €,Adres,Adres_google,Categorie,Conclusie,Eindcijfer,Gewicht in gram,Hoeveelheid vulling,Klefheid,Luchtigheid,Nevenvestiging,Opmerking,Smaak,Uiterlijk,Vetpercentage,Zelf aangemeld voor deelname,Zoetheid,Aanbieding bulk aantal,Aanbieding bulk prijs
"Brood en Banket E. de Vries, Barneveld",Brood en Banket E. de Vries,Barneveld,2015,112.0,0.9,0.83,"6 voor 5,00",Langestraat 58,"Langestraat 58, Barneveld, Nederland",Voldoende,"De Vries bakt zichzelf altijd in de middenmoot. Soms een puntje meer, soms één minder. Laat het dit keer vooral afweten op de korsteigenschappen. De bollen zijn aardig compact en ietwat taai.",6.0,85.0,,,,,,,,7.57,,,6,5.00
"Hollandse Gebakkraam C. Denies, Delft",Hollandse Gebakkraam C. Denies,Delft,2015,113.0,1.0,0.83,"12 voor 10,00",Oude Kerkstraat/Voorstraat,"52°00'46.8""N 4°21'22.8""E",Voldoende,"Er wordt steeds beter gebakken, dus is het moeilijker je te onderscheiden. In die zin valt Denies door de mand. De bol heeft een goede korst, maar te weinig vulling en is aan de vette kant.",6.0,82.0,,,,,,,,16.4,,,12,10.00
"Brabantse Gebakkraam, Den Haag",Brabantse Gebakkraam,Den Haag,2015,114.0,0.8,0.73,"11 voor 8,00","Simon Carmiggelthof, winkelcentrum ’t Hoge Veen","Simon Carmiggelthof,  Den Haag, Nederland",Voldoende,"Slappe korst en een vettige smaak. Ziet er aan de binnenkant uit als natte spons. Als je je ogen dichtdoet, valt de smaak nog wel mee. Maar echt lekker is toch weer iets anders.",6.0,71.0,,,,,,,,9.46,,,11,8.00
"Bakkerij Klok, Rotterdam",Bakkerij Klok,Rotterdam,2015,115.0,0.9,,None,"Markthal, unit 41 & 42","Markthal, unit 41 & 42, Rotterdam, Nederland",Voldoende,"Stugge oliebol met droog mondgevoel. De smaak is niet eens zo slecht. De vulling had wat rijker gekund. Acceptabel, maar wie doe je hier nu een plezier mee?",6.0,97.0,,,,,,,,9.7,,,,
"Gebakkraam Jan Stuy, Hilversum",Gebakkraam Jan Stuy,Hilversum,2015,116.0,0.9,0.75,"8 voor 6,00",Stationsplein 1,"Stationsplein 1, Hilversum, Nederland",Voldoende,"Jan Stuy kreeg van het Bakkerij Centrum twee keer goud en dat deed hem enorm goed. De oliebollen zien er goed uit. Goudgeel, goede korst, maar de vulling valt wat tegen. Vrij vlak van smaak.",6.0,94.0,,,,,,,,7.77,,,8,6.00
"Oliebollenkraam Stuy-Boon, Almere",Oliebollenkraam Stuy-Boon,Almere,2015,117.0,1.0,0.73,"11 voor 8,00",Forum,"Forum, Almere, Nederland",Voldoende,"De oliebollen zien er goed uit, maar schijn bedriegt. Flauwe hap, vermoedelijk is het zout vergeten. Nauwelijks gevuld en met overheersende oliesmaak. Ze zijn ook te compact.",6.0,97.0,,,,,,,,7.25,,,11,8.00
"Bakkerij Jan en Richard Batist, Neede",Bakkerij Jan en Richard Batist,Neede,2015,118.0,0.85,0.75,"10 voor 7,50",Oude Straat 75,"Oude Straat 75, Neede, Nederland",Voldoende,"Taaie, harde en droge korst omhult zurige, broodachtige inhoud. Als er met citrus is gewerkt, is dat veel te overheersend. Smaak wordt in het algemeen als ‘vreemd’ ervaren.",6.0,97.0,,,,,,,,12.1,,,10,7.50
"De Oliebollenbakkerij Remon Muller, Nieuwerkerk aan den IJssel",De Oliebollenbakkerij,Nieuwerkerk aan den IJssel,2015,119.0,0.9,0.75,"12 voor 9,00",Raadhuisplein,"Raadhuisplein, Nieuwerkerk aan den IJssel, Nederland",Voldoende,Dat moet voor Raymond Muller na alle topscores in de afgelopen jaren even schrikken zijn. Belangrijk minpunt is de te taaie korst en een bijsmaak aan de olie. Een dipje om snel te vergeten.,6.0,105.0,,,,,,,,6.47,,,12,9.00
"Untied's Gebakkraam, Appingedam",Untied's Gebakkraam,Appingedam,2015,120.0,0.8,0.73,"11 voor 8,00","Farmsumerweg  130, parkeerterrein Gamma","Farmsumerweg  130, Appingedam, Nederland",Voldoende,De verkoper is blij dat hij na zoveel jaar ook in de Oliebollentest mag acteren. Zijn kleffe gummiballetjes lijken gevuld met stopverf. Zompige sponzen. De smaak valt nog mee. Volgend jaar beter?,6.0,89.0,,,,,,,,8.83,,,11,8.00
"Gebakkraam, Vianen",Gebakkraam,Vianen,2015,121.0,1.0,0.8,"10 voor 8,00","Edisonweg 4, parkeerterrein Makro","Edisonweg 4, Vianen, Nederland",Voldoende,Oliebollen in de categorie ‘het kan nog net’. De korst is zo slap als uitgelubberde huid die toe is aan een botoxbehandeling. Zompige sponzen. Voelt niet prettig in de mond.,6.0,72.0,,,,,,,,8.58,,,10,8.00
"Hollandse Gebakkraam Ter Aar, Ter Aar",Hollandse Gebakkraam Ter Aar,Ter Aar,2015,122.0,0.9,0.8,"10 voor 8,00","Kerkweg 28, parkeerterrein Intratuin","Kerkweg 28, Ter Aar, Nederland",Voldoende,"De zeer rijke vulling zorgt voor een stevige zoetheid, en die maskeert eventuele vette ellende. Door het hoge vochtgehalte aan de kleffe kant. Blijft kleven. Niet bepaald een hoogvlieger.",6.0,101.0,,,,,,,,7.22,,,10,8.00
"Hollandse Gebakkraam, Zeist",Hollandse Gebakkraam,Zeist,2015,123.0,1.0,0.62,"4 voor 2,50",Emmaplein,"Emmaplein, Zeist, Nederland",Voldoende,De dikke en taaie korst  is kwistig bestrooid met vanillesuiker. Daardoor proef je vooral zoet en wordt het bitter van de verbrande vruchten gemaskeerd. Vraagtekens bij de olie.,6.0,83.0,,,,,,,,12.8,,,4,2.50
"Mirella's Delicatesse Specialist, Amsterdam",Mirella's Delicatesse Specialist,Amsterdam,2015,124.0,1.0,0.82,"11 voor 9,00","Buiksloterweg, bij veerpont","52°22'56.3""N 4°54'12.5""E",Voldoende,De bollen liggen zwaar op de maag. Zijn maar net gaar en te weinig luchtig. De korst geeft evenmin aanleiding tot enthousiasme. Ook hier is een cursus de route naar succes.,6.0,91.0,,,,,,,,8.4,,,11,9.00
"Hollandse Gebakkraam J.C. van Gemert en Zn, Amsterdam",Hollandse Gebakkraam J.C. van Gemert en Zn,Amsterdam,2015,125.0,0.9,0.7,"10 voor 7,00",Cornelis Troostplein,"Cornelis Troostplein , Amsterdam, Nederland",Voldoende,Erg donkere bollen met een verbrande smaak. Zijn maar net gaar en dat geeft dan weer klefheid. Enigszins tranige nasmaak. Tip: kom uit de kraam en vergelijk met de bollen van anderen.,6.0,75.0,,,,,,,,9.11,,,10,7.00
"Gebakkraam Bischoff, De Meern",Gebakkraam Bischoff,De Meern,2015,126.0,1.0,0.75,"12 voor 9,00",Mereveldplein,"Mereveldplein, De Meern, Nederland",Voldoende,"Sommige mensen gun je een hoge klassering en de familie Bischoff hoort daarbij. Maar de feiten spreken voor zich. Heeft na een eenmalige 9,5 in 2011 nooit meer dat niveau gehaald. Spijtig.",6.0,88.0,,,,,,,,6.0,,,12,9.00
"Bakker Bas, Gorinchem",Bakker Bas,Gorinchem,2015,127.0,0.85,0.75,10 voor 7.50,Piazza Center 8,"Piazza Center 8, Gorinchem, Nederland",Voldoende,Een overdosis kaneel haalt veel van het fijne weg. De korst is veel te zacht en taai. Heeft meer weg van rozijnenbrood met kaneelsmaak dan van een echte oliebol. Kijk naar de receptuur.,6.0,92.0,,,,,,,,8.6,,,10,7.50
"Bakkerij Brakenhoff, Assendelft",Bakkerij Brakenhoff,Assendelft,2015,128.0,0.9,0.82,"11 voor 9,00",Dorpsstraat 1054,"Dorpsstraat 1054, Assendelft, Nederland",Voldoende,"Lex Brakenhoff gaf vorig jaar toe zich op de complexiteit van de oliebol te hebben verkeken. Ook dit jaar heeft hij er moeite mee. Cakeachtige structuur, weinig vulling. Aan de droge kant.",6.0,83.0,,,,,,,,15.8,,,11,9.00
"Gebakkraam Gouki, Hoogeveen",Gebakkraam Gouki,Hoogeveen,2015,129.0,0.9,0.89,"9 voor 8,00",Hoofdstraat,"Hoofdstraat, Hoogeveen, Nederland",Voldoende,De buitenkant is veelbelovend: lekkere knapperige korst. Vanbinnen valt de bol tegen. De smaak van de olie overheerst en dat geeft geen prettig mondgevoel. Vanzelfsprekend ook klef.,6.0,99.0,,,,,,,,9.04,,,9,8.00
"Echte Bakker Piet Daane, Vlissingen",Echte Bakker Piet Daane,Vlissingen,2015,130.0,0.98,0.95,"10 voor 9,50",Walstraat 90,"Walstraat 90 , Vlissingen, Nederland",Voldoende,Vrij donker gebakken bol. De korst wordt ervaren als dik en taai. Vlak van smaak en droog vanbinnen. Opvallend hoeveel bakkers hun tanden stukbijten op een product als de oliebol.,6.0,89.0,,,,,,,,9.62,,,10,9.50
"Echte Bakker Roubroeks, Sittard",Echte Bakker Roubroeks,Sittard,2015,131.0,0.97,,None,Heistraat 30,"Heistraat 30, Sittard, Nederland",Voldoende,Roubroeks heeft duidelijk geprobeerd een oliebol met een frisse smaak te creëren. Dat is maar ten dele gelukt. Citrus overheerst. Heeft ook erg veel appel gebruikt. Aan de kleffe kant.,6.0,96.0,,,,,,,,12.2,,,,
"Gebakkraam Kallenkoot, Ede",Gebakkraam Kallenkoot,Ede,2015,132.0,0.9,0.82,"11 voor 9,00","Grotestraat, naast Oude Kerk","52°02'46.1""N 5°40'16.3""E",Voldoende,Oliebol met het uiterlijk van een wrattenzwijntje. Vulling op het overdadige af en daardoor erg zoet. De taaie en dikke korst laat zich niet gemakkelijk weghappen. Blijf het proberen.,6.0,101.0,,,,,,,,6.73,,,11,9.00
"Dre's Bakery, Goirle",Dre's Bakery,Goirle,2015,133.0,1.0,0.8,"10 voor 8,00",Kloosterplein,"Kloosterplein, Goirle, Nederland",Voldoende,Maak de korst krokanter en de waardering stijgt. Nu wordt de bol nog als taai ervaren. De vulling is aan de zuinige kant en daardoor minder smaakvol. Kijk uit met kaneel.,6.0,86.0,,,,,,,,5.92,,,10,8.00
"Bakker Prins, Scheemda",Bakker Prins,Scheemda,2015,134.0,0.75,0.7,"10 voor 7,00",Diepswal 21,"Diepswal 21, Scheemda, Nederland",Voldoende,Bakker Prins heeft er te veel toeters en bellen bijgesleept. Een orkestbak vol smaakjes en geurtjes met de structuur van cake. En met een dergelijke creatie zul je nooit erg hoog eindigen.,5.5,95.0,,,,,,,,10.7,,,10,7.00
"Arjaans Gebak, Stadskanaal",Arjaans Gebak,Stadskanaal,2015,135.0,1.0,0.89,"9 voor 8,00",Menistenplein/Europaplein,"Europaplein, Stadskanaal, Nederland",Onvoldoende,"Vette kleffe tandenplakker. De korst is zo taai dat de oliebol nog het meest weg heeft van een rubberen hondenspeeltje. O, het is de bedoeling dat je dit eet? Nee, bedankt.",5.5,80.0,,,,,,,,10.8,,,9,8.00
"Bakkerij Kolthof, Kornhorn",Bakkerij Kolthof,Kornhorn,2015,136.0,0.8,0.75,"10 voor 7,50",Noordwijkerweg 3,"Noordwijkerweg 3, Kornhorn, Nederland",Onvoldoende,"Een oliebol behoort goudgeel van kleur te zijn, deze zijn bijna zwart. De korst smaakt bitter, de vulling valt mee. Hoe bedrijfsblind moet je zijn om dergelijke oliebollen mee te geven?",5.5,96.0,,,,,,,,8.98,,,10,7.50
"Ben's Oliebollen, Lelystad",Ben's Oliebollen,Lelystad,2015,137.0,0.8,0.73,"11 voor 8,00",Stadhuisplein,"Stadhuisplein, Lelystad, Nederland",Onvoldoende,"Je levert een vette, kleffe bol die nergens naar smaakt. En als je daarop wordt aangesproken, roep je dat het om een ‘ambachtelijk product’ gaat. Flauwekul, deze test gáát over vakmanschap.",5.5,87.0,,,,,,,,16.5,,,11,8.00
"Gebakkraam Verwijk, Utrecht",Gebakkraam Verwijk,Utrecht,2015,138.0,0.9,0.82,"11 voor 9,00","Gageldijk 3, parkeerterrein tuincentrum Overvecht","Gageldijk 3, Utrecht, Nederland",Onvoldoende,"Een oliebol, het woord zegt het al, mag best wat olie bevatten. Maar je kunt overdrijven. En door (te) weinig vruchten proef je alleen zompig deeg. En dat is niet erg lekker.",5.5,85.0,,,,,,,,7.52,,,11,9.00
"Hollandse Gebakkraam Denies, Breda",Hollandse Gebakkraam Denies,Breda,2015,139.0,1.0,0.82,"11 voor 9,00",Dr. Struyckenplein,"Dr. Struyckenplein, Breda, Nederland",Onvoldoende,"Het knapperig krijgen van de korst blijkt voor veel bakkers een niet te nemen hindernis. Jammer, want daar valt zoveel winst te behalen. Ook hier is taai het struikelblok. Weer erg veel smaakjes.",5.5,94.0,,,,,,,,7.93,,,11,9.00
"Gebakkraam Kabalt, Alphen aan den Rijn",Gebakkraam Kabalt,Alphen aan den Rijn,2015,140.0,1.0,0.75,"10 voor 7,50","Euromarkt, parkeerterrein Gamma","52°07'36.1""N 4°39'01.7""E",Onvoldoende,Van Melvin Kabalt is bekend dat hij veel energie stopt in het maken van mooie oliebollen. Toch werpen die inspanningen lang niet altijd vrucht af. Taai en klef. Dat zou je anders willen.,5.5,98.0,,,,,,,,5.36,,,10,7.50
"Gebakkraam John Vermolen, Den Haag",Gebakkraam John Vermolen,Den Haag,2015,141.0,0.9,0.75,"12 voor 9,00","Vuursteen, parkeerterrein winkelcentrum Ypenburg","52°02'25.3""N 4°22'09.4""E",Onvoldoende,"Als je oliebol zegt, denk je niet aan deze misbaksels. Amper gevuld, heel klef. Bijsmaak aan de olie. Braakbal is misschien te veel gezegd, maar een oprisping krijg je er zeker van.",5.5,80.0,,,,,,,,7.59,,,12,9.00
"Gebakkraam De Haan, Capelle aan den IJssel",Gebakkraam De Haan,Capelle aan den IJssel,2015,142.0,1.0,0.92,"6 voor 5,50",Picassopassage,"Picassopassage, Capelle aan den IJssel, Nederland",Onvoldoende,"Je moet niet de vergissing begaan deze oliebollen te willen eten. Taai en klef, niet gaar. Maar een beetje hengelaar kan ze natuurlijk gebruiken als alternatief voor boilies bij het karperen.",5.5,108.0,,,,,,,,8.61,,,6,5.50
"Oliebollenkraam Brunselaar, Nijkerk",Oliebollenkraam Brunselaar,Nijkerk,2015,143.0,1.0,0.77,"13 voor 10,00","Het Spaanse Leger 1, parkeerterrein Intratuin","52°12'54.3""N 5°28'31.5""E",Onvoldoende,"De eigenaar wil graag nieuw beslag maken en het AD is bereid 45 minuten te wachten. Dan verwacht je ook iets. Helaas: niet gaar, klef en plakkerig. Proeve van onbekwaamheid met succes afgelegd.",5.5,82.0,,,,,,,,10.4,,,13,10.00
"Hollandse Gebakkraam, Pijnacker",Hollandse Gebakkraam,Pijnacker,2015,144.0,0.8,0.7,"10 voor 7,00",Raadhuisplein,"Raadhuisplein, Pijnacker, Nederland",Onvoldoende,"Uitbater onthaalt verslaggever in parkeergarage volkomen uit het niets op scheldpartij. Als je zelf al vermoed dat je oliebollen niet voor consumptie geschikt zijn, waarom verkoop je ze dan?",5.5,90.0,,,,,,,,6.43,,,10,7.00
"Bakkerij Sterk, Nieuwegein",Bakkerij Sterk,Nieuwegein,2015,145.0,0.9,,None,Drilleveld 1,"Drilleveld 1, Nieuwegein, Nederland",Onvoldoende,"Na veel hogere noteringen in voorgaande jaren laat Sterk nu een flinke steek vallen. Vlak van smaak, mede door te weinig vulling. Ook klef. Afwijkende geur. Snel vergeten maar.",5.5,97.0,,,,,,,,9.98,,,,
"Gebakkraam, Rotterdam",Gebakkraam,Rotterdam,2015,146.0,0.8,0.73,"11 voor 8,00",Slinge/Schuddebeursstraat,"51°52'30.2""N 4°28'00.5""E",Onvoldoende,"Een elektrische fiets is wel handig om van rozijn naar rozijn te fietsen. Neem er wel een met terreinbanden, anders blijf je zeker in de rauwe, kleffe deegmassa steken. Bah!",5.5,122.0,,,,,,,,4.45,,,11,8.00
"Gebakkraam M.G. de Weijer, Deventer",Gebakkraam M.G. de Weijer,Deventer,2015,147.0,1.0,0.89,"9 voor 8,00",Singel,"Singel, Deventer, Nederland",Onvoldoende,"Een puber van een oliebol, gekweld door een ernstige vorm van acne. Overdadige vulling doet de bol geen goed. Ook de smaak valt erg tegen. Olie met bijsmaak.",5.5,88.0,,,,,,,,6.17,,,9,8.00
"Benjamin's Hollandse Oliebollenkraam, Nieuwegein",Benjamin's Hollandse Oliebollenkraam,Nieuwegein,2015,148.0,0.7,0.5,"10 voor 5,00",bij winkelcentrum City Plaza,"52°01'43.5""N 5°04'54.6""E",Onvoldoende,Benjamin is het rustiger aan gaan doen en introduceert een opvolger. Of dat een goed idee is? Er valt nog veel te leren. Bijvoorbeeld: voeg voldoende vruchten toe. En maak de bol iets luchtiger.,5.5,69.0,,,,,,,,8.14,,,10,5.00
"Vlaai & Ko, Utrecht",Vlaai & Ko,Utrecht,2015,149.0,0.8,0.67,"12 voor 8,00",Kanaalstraat 50,"Kanaalstraat 50, Utrecht, Nederland",Onvoldoende,"Vlaai & Ko geeft zichzelf op voor de oliebollentest, maar blijkt deze in te kopen bij bakker Vincent uit Bilthoven. Taaie, kleffe deegbal, zepige bijsmaak en ook bitter. Jakkes. De samenwerking is beëindigd.",5.0,77.0,,,,,,,,8.28,,,12,8.00
"Dordtsche Gebakkraam Reemer, Dordrecht",Dordtsche Gebakkraam Reemer,Dordrecht,2015,150.0,0.8,0.7,"10 voor 7,00",Van Eesterenplein,"Van Eesterenplein, Dordrecht, Nederland",Onvoldoende,Ook hier is het AD bereid te wachten om Reemer de gelegenheid te geven optimaal te scoren. Maar deze kans voor open doel wordt niet benut. Taaie bol met weinig vulling en vreemde bijsmaakjes.,5.0,82.0,,,,,,,,6.4,,,10,7.00
"Gebakkraam Wiltjer-Fogerty, Groningen",Gebakkraam Wiltjer-Fogerty,Groningen,2015,151.0,0.9,0.8,"10 voor 8,00",Grote Markt,"Grote Markt , Groningen, Nederland",Onvoldoende,"Nee, neem het niet letterlijk, maar het is of deze bollen in wc-eend zijn gebakken. Sterke chemische geur van schoonmaakmiddel. Klef, taai en tranig. Absolute treurigheid.",5.0,89.0,,,,,,,,5.97,,,10,8.00
"Betuwse Gebakkraam, Geldermalsen",Betuwse Gebakkraam,Geldermalsen,2015,152.0,0.9,0.73,"11 voor 8,00",Achter het Veer,"Achter het Veer, Geldermalsen, Nederland",Onvoldoende,‘Vettige smakeloosheid’ noteert een panellid en dat schetst het aardig. Tel daar een taaie korst bij op en het ontbreken van fatsoenlijke vulling: dit bolletje mag worden afgeserveerd.,5.0,72.0,,,,,,,,6.93,,,11,8.00
"Drentse Gebakkraam Chris Spelbrink, Assen",Drentse Gebakkraam Chris Spelbrink,Assen,2015,153.0,0.9,0.73,"11 voor 8,00",Koopmansplein,"Koopmansplein, Assen, Nederland",Onvoldoende,Iedere oliebollenbakker kent het: soms heb je een beslagje dat het net niet helemaal heeft. Spelbrink heeft de laatste 5 jaar altijd hoger gescoord. Laten we daar dan maar op afgaan.,5.0,110.0,,,,,,,,7.01,,,11,8.00
"Oud Hollandse Gebakkraam Muller, Woerden",Oud Hollandse Gebakkraam Muller,Woerden,2015,154.0,1.0,0.7,"10 voor 7,00",Westdam,"Westdam, Woerden, Nederland",Onvoldoende,"Een oliebol zoals je die niet wilt hebben. Is het een kauwgombal of te gebruiken als stopverf? Nee, het is toch kleefpasta. Doodzonde om hier je zuurverdiende geld aan uit te geven.",5.0,97.0,,,,,,,,6.98,,,10,7.00
"Betuwse Gebakkraam, Culemborg",Betuwse Gebakkraam,Culemborg,2015,155.0,1.0,0.71,"7 voor 5,00",Hondsdijk 1,"Hondsdijk 1, Culemborg, Nederland",Onvoldoende,"Noodkreet van panellid: ,,Ik wil de smaak beoordelen, maar dan moet die er wel zijn.’’ Weinig vulling, voornamelijk smaak van deeg en olie. En daarmee kom je niet hoog op de ranglijst.",5.0,58.0,,,,,,,,14.0,,,7,5.00
"Gebakkraam Marco van Raaij, Enschede",Gebakkraam Marco van Raaij,Enschede,2015,156.0,0.8,0.7,"10 voor 7,00","Achterhofweg 28, parkeerterrein Intratuin","Achterhofweg 28, parkeerterrein Intratuin, Enschede, Nederland",Onvoldoende,"Natte, kleffe misbaksels. Vette platte schijven met een taaie korst, niet gaar. Oneetbaar. Maar een positief ingesteld mens ziet dat deze 5 een grote verbetering is ten opzichte van de 1 in 2009.",5.0,62.0,,,,,,,,9.83,,,10,7.00
"Gebakkraam Daniel de Voer, Nijmegen",Gebakkraam Daniel de Voer,Nijmegen,2015,157.0,0.9,0.67,"12 voor 8,00",Winkelcentrum Horstacker,"51°50'02.1""N 5°47'36.0""E",Slecht,Uitbater noemt zijn eigen bollen ‘luchtig en knapperig’. Daar heeft het panel een andere mening over. Deze bollen zijn vet. Is de temperatuur van de olie wel in orde?,4.5,76.0,,,,,,,,9.24,,,12,8.00
"Gebakkraam R.H.C. Hendriks en Zonen, Amersfoort",Gebakkraam R.H.C. Hendriks en Zonen,Amersfoort,2015,158.0,1.0,0.8,"10 voor 8,00",Stadsring/Utrechtsestraat,"52°09'13.9""N 5°23'03.7""E",Slecht,Laten we accepteren dat er goede en ook slechte oliebollenbakkers zijn. Hendriks hoort zonder twijfel in de laatste categorie thuis. In het verleden stond hier ook een slechte kraam. Weinig veranderd dus.,4.5,91.0,,,,,,,,5.83,,,10,8.00
"Hollandse Gebakkraam, Utrecht",Hollandse Gebakkraam,Utrecht,2015,159.0,1.0,0.8,"10 voor 8,00",Amsterdamse Straatweg/Van Beuningenplein,"52°06'11.2""N 5°05'45.9""E",Slecht,"Soms beseffen mensen te weinig dat zij met levensmiddelen bezig zijn en dat dit een bepaalde verantwoordelijkheid met zich meebrengt. Olievulkanen, het vet spuit eruit. Niet te eten.",4.0,96.0,,,,,,,,6.55,,,10,8.00
"Gebakkraam Brusselse Poort, Maastricht",Gebakkraam Brusselse Poort,Maastricht,2015,160.0,0.8,0.75,"8 voor 6,00",Parkeerterrein winkelcentrum Brusselse Poort.,"50°51'02.0""N 5°40'01.6""E",Oneetbaar,De oliebollen ruiken naar oud braaksel en smaken ook zo. Ze zijn klef en taai en glibberen in je mond alle kanten op. Visolie. Het zou een zegen zijn voor Maastricht als deze bakker iets anders ging doen.,3.5,86.0,,,,,,,,13.0,,,8,6.00
"Gebakkraam, Spijkenisse",Gebakkraam,Spijkenisse,2015,161.0,1.0,0.73,"11 voor 8,00","Ruwaard van Puttenweg, metrostation Centrum","51°50'47.3""N 4°20'04.6""E",Oneetbaar,Taaie en zompige rommel met grote luchtblazen. Dit soort verkooppunten is een schande voor de branche. Juist in Spijkenisse zijn voor je dure geld veel betere bollen te krijgen.,3.5,70.0,,,,,,,,15.5,,,11,8.00
"Betuwse Gebakkraam Familie Eckelboom, Leerdam",Betuwse Gebakkraam Familie Eckelboom,Leerdam,2015,162.0,0.8,0.7,"10 voor 7,00",Dr. Reilinghplein/Meent,"Dr. Reilinghplein, Leerdam, Nederland",Oneetbaar,"Ranzige oliebol zonder smaak. Erg taaie korst, weinig vulling die aan de buitenzijde ook nog eens verbrand is. Dit kun je je klanten niet aandoen. Snel verbeteren of de klep definitief dicht.",3.5,72.0,,,,,,,,11.5,,,10,7.00
"Hollandse Gebakkraam, IJsselstein",Hollandse Gebakkraam,IJsselstein,2015,163.0,1.0,0.83,"12 voor 10,00","Basiliekpad 4, bij de AH","Basiliekpad 4, IJsselstein, Nederland",Oneetbaar,De korst lijkt gemaakt van zeemleer. Smaakt voor kibbeling niet slecht. O? Zijn deze visolie-krengen verkocht als oliebollen? Daar heeft dit wanproduct heel weinig mee te maken.,3.5,136.0,,,,,,,,3.89,,,12,10.00
"Gebakkraam Parel, Venlo",Gebakkraam Parel,Venlo,2015,164.0,1.0,0.73,"11 voor 8,00","Nijmeegseweg 20, parkeerterrein winkelcentrum De Tref","Nijmeegseweg 20, Venlo, Nederland",Oneetbaar,"Neem een spons en snijd daar platte plakken van, 6 minuten frituren en je hebt de oliebollen van Parel. Let op: niet gebruiken als vetbol voor de vogels. Dat zou dierenmishandeling zijn.",3.0,85.0,,,,,,,,5.5,,,11,8.00
"Meesterbakker Voskamp, Spijkenisse",Meesterbakker Voskamp,Spijkenisse,2016,1.0,1.0,0.95,"10 voor  9,50",Nieuwstraat 183,,Top 10, Diepe buiging voor Meesterbakker Voskamp. Gefeliciteerd met het prolongeren van de titel. Deze bol komt bovendrijven als de ultieme oliebol van 2016. Een ongelooflijke topprestatie.,10.0,98.4,,,,False,,,,13.5,,,10,9.50
"Bakkerij Brokking, IJsselstein",Bakkerij Brokking,IJsselstein,2016,2.0,1.0,,-,Benschopperstraat 4,,Top 10," Oud-winnaar Brokking vecht zich terug aan de top. Heerlijke krokante korst, goed gevuld. Mooie smaakaccenten. Hoe goed de bol is, merk je als je hem op hebt. Je wilt er nog één.",9.5,93.6,,,,False,,,,14.8,,,,
"Bakkerij Aad Klootwijk, Capelle aan den IJssel",Bakkerij Aad Klootwijk,Capelle aan den IJssel,2016,3.0,0.95,0.9,"10 voor  9,00",Centrumpassage 43,,Top 10, Loon naar werken voor Bakkerij Aad Klootwijk. Bolletje waar je je vingers bij opeet. Bakkers Werner Lodewijk en Jan Verwijs staken vele uren in het vinden van de ultieme oliebol. Gelukt!,9.5,92.5,,,,False,,,,15.1,,,10,9.00
"Vroeg, Bunnik",Vroeg,Bunnik,2016,4.0,0.95,0.85,"10 voor  8,50",Achterdijk 1,,Top 10," Weer een heel mooie prestatie van de bakkersploeg van Vroeg. Liefde voor het vak, weten waar je mee bezig bent en goede ingrediënten. Het is een gouden formule. Ga maar langs.",9.0,93.2,,,,False,,,,10.8,,,10,8.50
"Bakkerij Jonker, Oldebroek",Bakkerij Jonker,Oldebroek,2016,5.0,0.75,,-,Zuiderzeestraatweg 357,,Top 10, De kroon op het werk voor Hendri Jonker. Jaar na jaar slaagt hij erin om zich te verbeteren. Levert nu een meer dan voortreffelijke oliebol tegen een zeer schappelijke prijs.,9.0,90.2,,,,False,,,,11.4,,,,
"Bakkerij Jansen en Terpstra, Oosterwolde",Bakkerij Jansen en Terpstra,Oosterwolde,2016,6.0,0.9,0.82,"11 voor  9,00",Het Oost 12,,Top 10," Over verrassingen gesproken. Bakkerij Jansen en Terpstra kwam nooit verder dan een plaats in de middenmoot, maar treft nu feilloos doel. Goudbruine oliebol met krokante korst.",9.0,95.2,,,,False,,,,9.6,,,11,9.00
"Gebakkraam Richard Visser, Rotterdam",Gebakkraam Richard Visser,Rotterdam,2016,7.0,1.0,,-,Heemraadssingel/Vierambachtsstraat,,Top 10, Wederom bakt vakfanaat Richard Visser voortreffelijke oliebollen. Ook dit jaar weer de beste oliebollenkraam van Nederland. En dat is al de 15de keer. Een echte aanrader. Hulde!,9.0,83.6,,,,False,,,,15.3,,,,
"Bakker Roel, Utrecht",Bakker Roel,Utrecht,2016,8.0,1.0,,-,Smaragdplein 109,,Top 10," Bakker Roel is onderdeel van het Roel-Brokkingconcern (plaats 2). Met andere, eigen receptuur ook tot de top 10 doordringen is knap. Dan heb je gouden bakkershandjes. Uitstekende oliebol.",9.0,102.4,,,,False,,,,15.0,,,,
"Bakkerij Van der Waal, Ridderkerk",Bakkerij Van der Waal,Ridderkerk,2016,9.0,0.9,,-,Dillenburgplein 4,,Top 10," Dat Van der Waal een goede oliebol kan bakken, was al bekend. Toch geldt deze top 10-plaats als een verrassing. Heerlijke bol met prima beet. Goed gevuld. Een echte oliebol.",8.5,89.9,,,,False,,,,14.4,,,,
"Tijsterman Bakkers, Oegstgeest",Tijsterman Bakkers,Oegstgeest,2016,10.0,0.95,,-,"Irislaan 241, winkelcentrum Lange Vort",,Top 10," Vooral dankzij een knapperig krokante korst bakt Tijsterman zich de top 10 in. Knap werk. De vulling is goed in balans, prima afbeet. Daar ga je niet zelf voor bakken.",8.5,91.3,,,,False,,,,13.5,,,,
